RESOLVED	spine-unity	Spine.MeshAttachment	get_RegionOffsetX	Spine.MeshAttachment	TypeAnalysisContext	40	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	regionOffsetX	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.ExposedList`1+Enumerator	get_Current	Spine.ExposedList`1<T>+Enumerator<T>	GenericInstanceTypeAnalysisContext	10	0	THIS	NEITHER	Spine.ExposedList`1<T>+Enumerator<T>	l	Spine.ExposedList`1<T>	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_RegionOffsetY	Spine.MeshAttachment	TypeAnalysisContext	44	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	regionOffsetY	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_RegionWidth	Spine.MeshAttachment	TypeAnalysisContext	48	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	regionWidth	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnDispose	Spine.TrackEntry	TypeAnalysisContext	48	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	Dispose	Spine.AnimationState+TrackEntryDelegate	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnDispose	Spine.TrackEntry	TypeAnalysisContext	48	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	Dispose	Spine.AnimationState+TrackEntryDelegate	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnDispose	Spine.AnimationState+TrackEntryDelegate	TypeAnalysisContext	18	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	invoke_impl	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnDispose	Spine.AnimationState+TrackEntryDelegate	TypeAnalysisContext	40	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	method_code	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnDispose	Spine.AnimationState+TrackEntryDelegate	TypeAnalysisContext	28	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	method	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_RegionHeight	Spine.MeshAttachment	TypeAnalysisContext	4C	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	regionHeight	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_RegionOriginalWidth	Spine.MeshAttachment	TypeAnalysisContext	50	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	regionOriginalWidth	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnComplete	Spine.TrackEntry	TypeAnalysisContext	50	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	Complete	Spine.AnimationState+TrackEntryDelegate	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnComplete	Spine.TrackEntry	TypeAnalysisContext	50	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	Complete	Spine.AnimationState+TrackEntryDelegate	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnComplete	Spine.AnimationState+TrackEntryDelegate	TypeAnalysisContext	18	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	invoke_impl	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnComplete	Spine.AnimationState+TrackEntryDelegate	TypeAnalysisContext	40	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	method_code	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnComplete	Spine.AnimationState+TrackEntryDelegate	TypeAnalysisContext	28	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	method	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_RegionOriginalHeight	Spine.MeshAttachment	TypeAnalysisContext	54	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	regionOriginalHeight	System.Single	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnEvent	Spine.TrackEntry	TypeAnalysisContext	58	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	Event	Spine.AnimationState+TrackEntryEventDelegate	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnEvent	Spine.TrackEntry	TypeAnalysisContext	58	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	Event	Spine.AnimationState+TrackEntryEventDelegate	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnEvent	Spine.AnimationState+TrackEntryEventDelegate	TypeAnalysisContext	18	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	invoke_impl	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnEvent	Spine.AnimationState+TrackEntryEventDelegate	TypeAnalysisContext	40	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	method_code	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	OnEvent	Spine.AnimationState+TrackEntryEventDelegate	TypeAnalysisContext	28	0	INSTANCE_FIELD	CLASS_OBJECT_RELATIVE	System.Delegate	method	System.IntPtr	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_ParentMesh	Spine.MeshAttachment	TypeAnalysisContext	58	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	parentMesh	Spine.MeshAttachment	INSTANCE	-	DIRECT
