spine-unity	Spine.ExposedList`1	AddCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	AddCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	AddCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	AddCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	AddCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	AddEnumerable	System.Collections.Generic.IEnumerable`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	AddEnumerable	System.Collections.Generic.IEnumerable`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	AddEnumerable	System.Collections.Generic.IEnumerable`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	AddEnumerable	System.Collections.Generic.IEnumerable`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	AddEnumerable	System.Collections.Generic.IEnumerable`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	AddEnumerable	System.Collections.Generic.IEnumerable`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	AddRange	System.Collections.Generic.IEnumerable`1<T>	GenericInstanceTypeAnalysisContext	135	REF	
spine-unity	Spine.ExposedList`1	GetEnumerator	Spine.ExposedList`1<T>+Enumerator<T>	GenericInstanceTypeAnalysisContext	0	VALUE	
spine-unity	Spine.ExposedList`1	GetEnumerator	Spine.ExposedList`1<T>+Enumerator<T>	GenericInstanceTypeAnalysisContext	8	VALUE	
spine-unity	Spine.ExposedList`1	GetEnumerator	Spine.ExposedList`1<T>+Enumerator<T>	GenericInstanceTypeAnalysisContext	0	VALUE	
spine-unity	Spine.ExposedList`1	GetEnumerator	Spine.ExposedList`1<T>+Enumerator<T>	GenericInstanceTypeAnalysisContext	8	VALUE	
spine-unity	Spine.ExposedList`1	GetEnumerator	Spine.ExposedList`1<T>+Enumerator<T>	GenericInstanceTypeAnalysisContext	0	VALUE	
spine-unity	Spine.ExposedList`1	GetEnumerator	Spine.ExposedList`1<T>+Enumerator<T>	GenericInstanceTypeAnalysisContext	8	VALUE	
spine-unity	Spine.ExposedList`1	GetRange	Spine.ExposedList`1<T>	GenericInstanceTypeAnalysisContext	135	REF	
spine-unity	Spine.ExposedList`1	InsertCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertCollection	System.Collections.Generic.ICollection`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertEnumeration	System.Collections.Generic.IEnumerable`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertEnumeration	System.Collections.Generic.IEnumerable`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertEnumeration	System.Collections.Generic.IEnumerable`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertEnumeration	System.Collections.Generic.IEnumerable`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertEnumeration	System.Collections.Generic.IEnumerable`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.ExposedList`1	InsertEnumeration	System.Collections.Generic.IEnumerable`1<T>	GenericInstanceTypeAnalysisContext	0	REF	
spine-unity	Spine.Skeleton	.ctor	Spine.ExposedList`1<Spine.BoneData>+Enumerator<Spine.BoneData>	GenericInstanceTypeAnalysisContext	0	VALUE	
spine-unity	Spine.Skeleton	.ctor	Spine.ExposedList`1<Spine.SlotData>+Enumerator<Spine.SlotData>	GenericInstanceTypeAnalysisContext	0	VALUE	
spine-unity	Spine.Skeleton	.ctor	Spine.ExposedList`1<Spine.PathConstraintData>+Enumerator<Spine.PathConstraintData>	GenericInstanceTypeAnalysisContext	0	VALUE	
