Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	AddEnumerable	Il2CppClass<System.Collections.IEnumerator>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v454 @ X8_v5 (Il2CppClass<System.Collections.IEnumerator>)+12E]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	AddEnumerable	Il2CppClass<System.Collections.IEnumerator>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v311 @ X8_v11 (Il2CppClass<System.Collections.IEnumerator>)+12E]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	AddEnumerable	Il2CppClass<System.Collections.IEnumerator>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v311 @ X8_v11 (Il2CppClass<System.Collections.IEnumerator>)+12E]
Il2CppClass.interfaceOffsets	spine-unity	Spine.ExposedList`1	AddEnumerable	Il2CppClass<System.Collections.IEnumerator>		RuntimeClassTypeAnalysisContext	B0	0	0	0	Move:memory	[v311 @ X8_v11 (Il2CppClass<System.Collections.IEnumerator>)+B0]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	AddEnumerable	Il2CppClass<System.Collections.Generic.IEnumerable`1<T>>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v59 @ X8_v19 (Il2CppClass<System.Collections.Generic.IEnumerable`1<T>>)+12E]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	AddEnumerable	Il2CppClass<System.Collections.Generic.IEnumerable`1<T>>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v59 @ X8_v19 (Il2CppClass<System.Collections.Generic.IEnumerable`1<T>>)+12E]
base has no type, from Add of an untyped local and Immediate	spine-unity	Spine.ExposedList`1	AddEnumerable	<untyped>			FFFFFFFFFFFFFFF8	0	0	0	Add	[v204 @ X10_v35-8]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	AddEnumerable	Il2CppClass<System.Collections.IEnumerator>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v554 @ X8_v29 (Il2CppClass<System.Collections.IEnumerator>)+12E]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	AddEnumerable	Il2CppClass<System.Collections.IEnumerator>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v554 @ X8_v29 (Il2CppClass<System.Collections.IEnumerator>)+12E]
base has no type, from Add of an untyped local and Immediate	spine-unity	Spine.ExposedList`1	AddEnumerable	<untyped>			FFFFFFFFFFFFFFF8	0	0	0	Add	[v649 @ X10_v25-8]
