base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-FieldReference	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	INSTANCE_FIELD	NO_OWNER	-	Add[1]:LocalVariable,MemoryOperand	[v680 @ X10_v16+v795 @ X8_v43 (System.Int32)*4]
base has no type, from Add of ArrayAccess and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-ArrayAccess	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	ARRAY_ELEMENT	NO_OWNER	-	Add[2]:LocalVariable,MemoryOperand	[v235 @ X11_v14+v795 @ X8_v43 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	20	10	1	0	Move:field Attachment	PAST_LAST_FIELD:class	LAYOUT_KNOWN	1	10	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	UNKNOWN:MERGED	SEARCH_EMPTY	-	CheckEqual[1]:LocalVariable,0x0	[v150 @ X24_v5 (Spine.Attachment)+20]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-FieldReference	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	INSTANCE_FIELD	NO_OWNER	-	Add[1]:LocalVariable,LocalVariable	[v236 @ X11_v19+v797 @ X8_v65 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	20	10	1	0	Move:field Attachment	PAST_LAST_FIELD:class	LAYOUT_KNOWN	1	10	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	UNKNOWN:MERGED	SEARCH_EMPTY	-	CheckEqual[1]:LocalVariable,0x0	[v150 @ X24_v5 (Spine.Attachment)+20]
base has no type, from Add of ArrayAccess and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-ArrayAccess	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	ARRAY_ELEMENT	NO_OWNER	-	Multiply[1]:LocalVariable,LocalVariable	[v237 @ X11_v12+v799 @ X8_v36 (System.Int32)*4]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-FieldReference	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	INSTANCE_FIELD	NO_OWNER	-	Add[1]:LocalVariable,LocalVariable	[v682 @ X10_v14+v799 @ X8_v36 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	20	10	1	0	Move:field Attachment	PAST_LAST_FIELD:class	LAYOUT_KNOWN	1	10	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	UNKNOWN:MERGED	SEARCH_EMPTY	-	CheckEqual[1]:LocalVariable,0x0	[v150 @ X24_v5 (Spine.Attachment)+20]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-FieldReference	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	INSTANCE_FIELD	NO_OWNER	-	Subtract[2]:LocalVariable,LocalVariable	[v240 @ X11_v15+v804 @ X8_v51 (System.Int32)*4]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-FieldReference	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	INSTANCE_FIELD	NO_OWNER	-	Subtract[2]:LocalVariable,LocalVariable	[v240 @ X11_v15+v804 @ X8_v51 (System.Int32)*4]
base has no type, from Add of ArrayAccess and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-ArrayAccess	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	ARRAY_ELEMENT	NO_OWNER	-	Subtract[1]:LocalVariable,MemoryOperand	[v241 @ X11_v8+v806 @ X8_v22 (System.Int32)*4]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-FieldReference	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	INSTANCE_FIELD	NO_OWNER	-	Subtract[2]:LocalVariable,MemoryOperand	[v685 @ X10_v9+v806 @ X8_v22 (System.Int32)*4]
base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-FieldReference	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	INSTANCE_FIELD	NO_OWNER	-	Subtract[2]:LocalVariable,MemoryOperand	[v685 @ X10_v9+v806 @ X8_v22 (System.Int32)*4]
value type base	spine-unity	SharpJson.Lexer	NextToken	System.Int32	System.ValueType	TypeAnalysisContext	0	0	1	0	Add	MISSING_METADATA:inside-the-layout-between-fields	LAYOUT_KNOWN	1	10	NESTED:m_value	VALUE_RELATIVE	UNKNOWN:OPCODE:Add:Immediate+Immediate	NOT_A_FIELD_ACCESS	-	ShiftLeft[1]:LocalVariable,0x2	[v394 @ X13_v2 (System.Int32)+v422 @ X8_v43 (System.Int32)]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	28	10	1	0	Move:field Attachment	PAST_LAST_FIELD:class	LAYOUT_KNOWN	1	10	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	UNKNOWN:MERGED	SEARCH_EMPTY	-	Add[1]:LocalVariable,0x20	[v150 @ X24_v5 (Spine.Attachment)+28]
base has no type, from Add of [Attachment + 0x28] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-MemoryOperand	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	LOADED_POINTER	NO_OWNER	-	Subtract[2]:LocalVariable,LocalVariable	[v79 @ X14_v12+v807 @ X8_v72 (System.Int32)*4]
